Imputation,A_Apparent,A_CV,A_CV_Lower,A_CV_Upper,A_Optimism,B_Apparent,B_CV,B_CV_Lower,B_CV_Upper,B_Optimism
1,0.7500070811499787,0.7311712222064863,0.6772128593683614,0.7881921824104234,0.01883585894349238,0.8267667469196998,0.8013312561960062,0.7476561393570316,0.8475300948874098,0.025435490723693555
2,0.7244866166265401,0.7002690836991927,0.6403788415238635,0.7584237360147288,0.024217532927347407,0.799008639002974,0.7609120521172639,0.706384364820847,0.8138245291035264,0.03809658688571016
3,0.7501487041495539,0.7217108058348676,0.6600481518198555,0.7769685596940942,0.02843789831468635,0.8276448095170655,0.7977340320067979,0.7439449086531653,0.8470507010338478,0.029910777510267605
4,0.7338620591984139,0.7058490298824529,0.6461669735164991,0.7645659255063022,0.028013029315960947,0.8132842373601473,0.7826370202520889,0.732044327998867,0.8325817872822545,0.0306472171080584
5,0.75131001274607,0.7265543124203371,0.6678622008214133,0.7855905679082282,0.024755700325732932,0.8179577963461266,0.7844214700467356,0.7299525562951422,0.8350141622999574,0.03353632629939107
6,0.754623990936128,0.7320492848038521,0.672113015153661,0.7921264693386206,0.022574706132275857,0.829174337912477,0.8001982721994052,0.7498647500354058,0.8477581079167257,0.028976065713071764
7,0.7466931029599206,0.7243166690270499,0.6654864750035406,0.7812250389463249,0.0223764339328707,0.8192324033423027,0.7897748194306755,0.736804985129585,0.8376448095170655,0.029457583911627228
8,0.7179436340461691,0.6776094037671718,0.6162838124911485,0.7357675966576972,0.040334230278997296,0.8087806259736581,0.775102676674692,0.718651040929047,0.8242784308171648,0.03367794929896606
9,0.7346834725959496,0.7062738988811783,0.6428749468913753,0.7636439597790681,0.028409573714771263,0.8249822971250531,0.7901713638294859,0.7333720436198838,0.83923665203229,0.03481093329556717
10,0.7453335221639994,0.7253646792239059,0.6660048151819855,0.7813709106358873,0.01996884294009349,0.8254638153236086,0.7924939810225181,0.739379691261861,0.8437551338337345,0.03296983430109046
11,0.7241467214275599,0.7061889250814332,0.6458284945475145,0.7641276023226171,0.01795779634612671,0.8115281121654156,0.7777085398668744,0.7249893782750318,0.828838691403484,0.03381957229854127
12,0.7504319501487041,0.7233536326299391,0.6675251380824246,0.778313978190058,0.027078317518764994,0.8055232969834301,0.7712222064863333,0.7173332389180003,0.8237076901288769,0.03430109049709673
13,0.7202379266392862,0.6927630647217108,0.6322241892083275,0.7526221498371335,0.02747486191757542,0.8092054949723835,0.7758391162724827,0.7238733890383797,0.8264835009205495,0.03336637869990078
14,0.7260444696218665,0.6969267809092197,0.6368184393145446,0.7562965585611103,0.02911768871264686,0.8043903129868291,0.7797762356606713,0.7259587877071236,0.8304786857385639,0.024614077326157724
15,0.7347117971958645,0.7040645800878063,0.6416322050701034,0.7635186234244441,0.03064721710805829,0.8144172213567483,0.7949865458150404,0.7438790539583628,0.8446700184109899,0.019430675541707965
16,0.7323042062030873,0.7092763064721711,0.6446650616060049,0.767431666902705,0.023027899730916235,0.8182976915451069,0.7941651324175046,0.7394122645517632,0.846680356889959,0.02413255912760226
17,0.7235235802294292,0.7008922248973233,0.6428041353915876,0.7592777227021668,0.022631355332105918,0.8040787423877638,0.7779068120662795,0.7242026625123921,0.8278749468913751,0.026171930321484238
18,0.7533210593400368,0.7355898597932304,0.6764112731907661,0.7890695368927914,0.017731199546806353,0.8232544965302365,0.7915592692253222,0.7420152952839542,0.8414119813057641,0.031695227304914364
19,0.7425293867724119,0.7220790256337629,0.6615465231553604,0.7795227304914317,0.020450361138648954,0.8239342869281971,0.7943067554170797,0.7398208469055375,0.8462632771562101,0.02962753151111741
20,0.7431808525704574,0.7163008072510976,0.6570995609687014,0.7779684180710946,0.026880045319359835,0.8134258603597224,0.7894349242316953,0.741537317660388,0.8403972525138083,0.023990936128027163
21,0.7454751451635746,0.7280555162158334,0.6683472595949582,0.7881645659255063,0.017419628947741184,0.8222914601331256,0.7959212576122362,0.7445666336213002,0.8446976348959072,0.026370202520889396
22,0.7436340461690979,0.716697351649908,0.6574904404475287,0.7746834725959496,0.026936694519189897,0.8139073785582779,0.788103668035689,0.7368071094745787,0.8351593258745219,0.025803710522588896
23,0.7366945191899165,0.7118821696643535,0.6539824387480526,0.7680795921257612,0.024812349525562993,0.8235943917292168,0.7954680640135958,0.7460642968418071,0.8427736864466789,0.028126327715620958
24,0.7370060897889817,0.7080300240759099,0.6482311287353066,0.7650297408299108,0.028976065713071875,0.826058631921824,0.7995751310012746,0.749635320776094,0.8481964311004105,0.026483500920549408
