"variable","n_missing","pct_missing","category"
"dbas_12",67,15.8767772511848,"Moderate (10-25%)"
"dbas_13",67,15.8767772511848,"Moderate (10-25%)"
"dbas_14",67,15.8767772511848,"Moderate (10-25%)"
"dbas_15",67,15.8767772511848,"Moderate (10-25%)"
"dbas_16",67,15.8767772511848,"Moderate (10-25%)"
"reserved_r",67,15.8767772511848,"Moderate (10-25%)"
"trusting",67,15.8767772511848,"Moderate (10-25%)"
"lazy_r",67,15.8767772511848,"Moderate (10-25%)"
"relaxed_r",67,15.8767772511848,"Moderate (10-25%)"
"few_interests_r",67,15.8767772511848,"Moderate (10-25%)"
"outgoing",67,15.8767772511848,"Moderate (10-25%)"
"find_fault_r",67,15.8767772511848,"Moderate (10-25%)"
"thorough",67,15.8767772511848,"Moderate (10-25%)"
"nervous",67,15.8767772511848,"Moderate (10-25%)"
"imagination",67,15.8767772511848,"Moderate (10-25%)"
"capability_1",56,13.2701421800948,"Moderate (10-25%)"
"capability",56,13.2701421800948,"Moderate (10-25%)"
"desires_2",56,13.2701421800948,"Moderate (10-25%)"
"inf_hcp_1",56,13.2701421800948,"Moderate (10-25%)"
"inf_hcp_3",56,13.2701421800948,"Moderate (10-25%)"
"dependence_2",55,13.0331753554502,"Moderate (10-25%)"
"dependence_3",55,13.0331753554502,"Moderate (10-25%)"
"motivation_1",55,13.0331753554502,"Moderate (10-25%)"
"motivation_2",55,13.0331753554502,"Moderate (10-25%)"
"motivation_3",55,13.0331753554502,"Moderate (10-25%)"
"desires_1",55,13.0331753554502,"Moderate (10-25%)"
"dependence_1",53,12.5592417061611,"Moderate (10-25%)"
"adls_2",52,12.3222748815166,"Moderate (10-25%)"
"side_effects_4",51,12.085308056872,"Moderate (10-25%)"
"adls_1",51,12.085308056872,"Moderate (10-25%)"
"benefit_4",44,10.4265402843602,"Moderate (10-25%)"
"benefit_6",44,10.4265402843602,"Moderate (10-25%)"
"side_effects_2",44,10.4265402843602,"Moderate (10-25%)"
"side_effects_3",44,10.4265402843602,"Moderate (10-25%)"
"benefit_5",43,10.1895734597156,"Moderate (10-25%)"
"side_effects_1",43,10.1895734597156,"Moderate (10-25%)"
"benefit_1",42,9.95260663507109,"Low (5-10%)"
"driving_freq",39,9.24170616113744,"Low (5-10%)"
"stop_wdl_exp_combined",17,4.02843601895735,"Minimal (<5%)"
"wdl_symptom_count",17,4.02843601895735,"Minimal (<5%)"
"bzra_daily_diazepam_eq",10,2.3696682464455,"Minimal (<5%)"
"income",9,2.13270142180095,"Minimal (<5%)"
"employment",1,0.23696682464455,"Minimal (<5%)"
"osss_3_score",1,0.23696682464455,"Minimal (<5%)"
"freq_dich",0,0,"Minimal (<5%)"
"age",0,0,"Minimal (<5%)"
"sex",0,0,"Minimal (<5%)"
"prov_terr",0,0,"Minimal (<5%)"
"education",0,0,"Minimal (<5%)"
"phq2_score",0,0,"Minimal (<5%)"
"gen_health",0,0,"Minimal (<5%)"
"med_quant",0,0,"Minimal (<5%)"
"c_lengthofuse",0,0,"Minimal (<5%)"
"fall2",0,0,"Minimal (<5%)"
"n_health_conditions",0,0,"Minimal (<5%)"
"n_physical_conditions",0,0,"Minimal (<5%)"
"n_ment_conditions",0,0,"Minimal (<5%)"
"n_sleep_conditions",0,0,"Minimal (<5%)"
"alc_sleep",0,0,"Minimal (<5%)"
"can_sleep",0,0,"Minimal (<5%)"
"melatonin_use",0,0,"Minimal (<5%)"
"op_sleep",0,0,"Minimal (<5%)"
"alc_use",0,0,"Minimal (<5%)"
