"Variable","Class","N_Complete","N_Missing","Pct_Missing","Domain"
"motivation_3","numeric",367,55,13,"COM-B: Motivation"
"capability_1","numeric",366,56,13.3,"COM-B: Capability"
"capability","numeric",366,56,13.3,"COM-B: Capability"
"desires_1","numeric",367,55,13,"COM-B: Desires"
"desires_2","numeric",366,56,13.3,"COM-B: Desires"
"inf_hcp_1","numeric",366,56,13.3,"COM-B: HCP Influence"
"inf_hcp_3","numeric",366,56,13.3,"COM-B: HCP Influence"
"stop_wdl_exp_combined","factor",405,17,4,"Clinical: Withdrawal"
"wdl_symptom_count","numeric",405,17,4,"Clinical: Withdrawal"
"dbas1","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_2","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_3","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_4","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_5","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_6","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_7","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_8","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_9","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_10","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_11","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_12","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_13","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_14","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_15","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"dbas_16","numeric",355,67,15.9,"Psychological Individual Differences: DBAS"
"reserved_r","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"trusting","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"lazy_r","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"relaxed_r","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"few_interests_r","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"outgoing","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"find_fault_r","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"thorough","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"nervous","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"imagination","numeric",355,67,15.9,"Psychological Individual Differences: BFI"
"surps1_r","numeric",354,68,16.1,"Psychological Individual Differences: SURPS"
"surps2","numeric",354,68,16.1,"Psychological Individual Differences: SURPS"
"surps3","numeric",354,68,16.1,"Psychological Individual Differences: SURPS"
"surps4_r","numeric",354,68,16.1,"Psychological Individual Differences: SURPS"
"surps5","numeric",354,68,16.1,"Psychological Individual Differences: SURPS"
"surps6","numeric",354,68,16.1,"Psychological Individual Differences: SURPS"
"surps7_r","numeric",354,68,16.1,"Psychological Individual Differences: SURPS"
"surps8","numeric",354,68,16.1,"Psychological Individual Differences: SURPS"
"surps9","numeric",353,69,16.4,"Psychological Individual Differences: SURPS"
"surps10","numeric",353,69,16.4,"Psychological Individual Differences: SURPS"
"surps11","numeric",353,69,16.4,"Psychological Individual Differences: SURPS"
"surps12","numeric",353,69,16.4,"Psychological Individual Differences: SURPS"
"surps13_r","numeric",353,69,16.4,"Psychological Individual Differences: SURPS"
"surps14","numeric",353,69,16.4,"Psychological Individual Differences: SURPS"
"surps15","numeric",353,69,16.4,"Psychological Individual Differences: SURPS"
"surps16","numeric",353,69,16.4,"Psychological Individual Differences: SURPS"
"surps17","numeric",351,71,16.8,"Psychological Individual Differences: SURPS"
"surps18","numeric",351,71,16.8,"Psychological Individual Differences: SURPS"
"surps19","numeric",351,71,16.8,"Psychological Individual Differences: SURPS"
"surps20_r","numeric",351,71,16.8,"Psychological Individual Differences: SURPS"
"surps21","numeric",351,71,16.8,"Psychological Individual Differences: SURPS"
"surps22","numeric",351,71,16.8,"Psychological Individual Differences: SURPS"
"surps23_r","numeric",351,71,16.8,"Psychological Individual Differences: SURPS"
"ciss1","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss2","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss3","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss4","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss5","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss6","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss7","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss8","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss9","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss10","numeric",351,71,16.8,"Psychological Individual Differences: CISS"
"ciss11","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss12","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss13","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss14","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss15","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss16","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss17","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss18","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss19","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss20","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
"ciss21","numeric",350,72,17.1,"Psychological Individual Differences: CISS"
